brand,model,model_year,kilometers,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
Ford,Utility Police Interceptor Base,2013,82076.34,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,Automatic,Black,Black,At least 1 accident or damage reported,Yes,10300
Hyundai,Palisade SEL,2021,55911.69,Gasoline,3.8L V6 24V GDI DOHC,Automatic,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,38005
Lexus,RX 350 RX 350,2022,36004.15,Gasoline,3.5 Liter DOHC,Automatic,Blue,Black,None reported,Unknown,54598
INFINITI,Q50 Hybrid Sport,2015,143070.33,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,Black,Black,None reported,Yes,15500
Audi,Q3 45 S line Premium Plus,2021,15827.86,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Glacier White Metallic,Black,None reported,Unknown,34999
Audi,S3 2.0T Premium Plus,2017,135184.56,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,31000
BMW,740 iL,2001,389460.28,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Green,Green,None reported,Yes,7300
Lexus,RC 350 F Sport,2021,37716.49,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,41927
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,44430.66,Gasoline,V6,Automatic,Fuji White,Pimento / Ebony,None reported,Unknown,73897
Aston,Martin DBS Superleggera,2019,36644.67,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,184606
Toyota,Supra 3.0 Premium,2021,20116.75,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Yellow,Black,None reported,Yes,53500
Lincoln,Aviator Reserve AWD,2022,29283.55,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,None reported,Yes,62000
Jaguar,F-TYPE,2020,25593.33,Gasoline,2.0 Liter Supercharged,Automatic,Silver,Black,None reported,Unknown,47998
Land,Rover LR4 HSE,2013,128425.33,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,29990
Mercedes-Benz,Metris Base,2021,2711.74,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Gray,White,None reported,Yes,250000
Dodge,Challenger SXT,2013,98288.83,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,None reported,Yes,16800
Nissan,350Z Enthusiast,2003,119091.16,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Manual,Purple,–,None reported,Yes,11000
Jaguar,F-TYPE R,2018,56729.24,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Green,Black,None reported,Yes,68750
Chevrolet,S-10 LS,2000,214862.98,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,Automatic,Blue,Black,None reported,Yes,4500
BMW,440 Gran Coupe 440i xDrive,2020,41826.75,Gasoline,3.0 Liter Turbo,Automatic,White,Beige,None reported,Unknown,38598
Ford,F-150 XLT,2023,4543.17,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,None reported,Yes,58504
Chevrolet,Suburban RST,2021,83685.68,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,61000
Hyundai,Elantra N Base,2022,18748.81,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,32300
Nissan,Sentra SR,2016,155367.29,Gasoline,1.8 Liter,Automatic,Blue,Black,None reported,Unknown,13998
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,28163.45,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,59995
BMW,650 Gran Coupe i xDrive,2015,111044.46,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,25700
Audi,Q5 2.0T Premium Plus,2017,131772.76,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,Automatic,Mythos Black Metallic,Black,None reported,Yes,21375
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,46348.99,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,48000
Dodge,Ram 1500 Laramie Mega Cab,2006,483096.51,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,10900
BMW,i3 120Ah w/Range Extender,2020,56383.23,Hybrid,120 AH,Automatic,Black,Black,None reported,Unknown,24998
Kia,Sorento SX,2011,275197.14,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,5999
Lexus,LX 570 Base,2016,191028.66,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,None reported,Yes,46900
Jeep,New Compass Trailhawk,2017,191511.46,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,None reported,Yes,15900
BMW,340 i,2018,71231,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,None reported,Unknown,33598
Audi,A4 2.0T Premium Plus quattro,2012,202092.87,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,8999
Hyundai,Tucson SE,2007,26071.31,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Gold,Beige,None reported,Yes,8200
BMW,Z4 sDrive28i,2014,112653.8,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,At least 1 accident or damage reported,Yes,20000
Bentley,Continental GTC Base,2011,32508.67,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,Automatic,Black,Black,None reported,Yes,79950
Honda,Passport Elite,2023,4792.61,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,Unknown,45498
Dodge,Sprinter 2500,2007,305322.38,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14000
BMW,M850 i xDrive,2019,16011.32,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None reported,Unknown,75798
Audi,A7 Premium,2012,86904.36,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,At least 1 accident or damage reported,Yes,36880
Chevrolet,Silverado 1500 Custom Trail Boss,2021,82641.22,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,43147
MINI,Convertible John Cooper Works,2017,39074.78,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,29000
Toyota,Avalon Touring,2016,143469.44,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,17500
Porsche,Cayenne Platinum Edition,2017,117551.02,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,30990
